sec,d ms,r.init,r.init was invoked (a)
0.000,0.742,r.init,debug mode is false
0.001,0.786,robot,pushButton was invoked with button 0
3.775,3773.474,robot,resetMotorEncoders was called
3.788,12.984,robot,enableMotorEncoders was called
3.822,34.853,r.init,r.init finished (a)
3.862,39.820,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
10.540,6677.985,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
10.721,180.728,in TeleOp_Revised,top of main loop
10.722,0.587,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
10.817,95.500,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
10.819,1.474,in TeleOp_Revised,top of main loop
10.819,0.968,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
10.821,1.598,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
10.823,1.531,in TeleOp_Revised,top of main loop
10.823,0.894,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
10.826,2.089,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
10.828,1.987,in TeleOp_Revised,top of main loop
10.829,1.358,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
10.831,2.566,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
10.833,1.669,in TeleOp_Revised,top of main loop
10.835,1.406,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
10.836,1.881,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
10.839,2.734,in TeleOp_Revised,top of main loop
10.840,1.260,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
10.843,2.582,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
10.846,2.564,in TeleOp_Revised,top of main loop
10.848,2.494,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
10.852,3.497,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
10.857,5.633,in TeleOp_Revised,top of main loop
10.858,0.894,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
10.860,2.065,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
10.862,1.932,in TeleOp_Revised,top of main loop
10.863,0.776,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
10.865,1.821,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
10.868,2.850,in TeleOp_Revised,top of main loop
10.869,1.008,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
10.870,1.850,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
10.872,1.818,in TeleOp_Revised,top of main loop
10.873,0.618,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
10.875,2.298,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
10.876,1.271,in TeleOp_Revised,top of main loop
10.877,1.020,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
10.880,3.033,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
10.882,1.931,in TeleOp_Revised,top of main loop
10.883,0.822,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
10.886,2.359,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
10.887,1.578,in TeleOp_Revised,top of main loop
10.889,1.386,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
10.890,1.665,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
10.891,1.115,in TeleOp_Revised,top of main loop
10.892,0.958,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
10.895,2.700,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
10.897,1.711,in TeleOp_Revised,top of main loop
10.897,0.725,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
10.900,2.923,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
10.902,1.298,in TeleOp_Revised,top of main loop
10.903,1.137,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
10.905,1.848,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
10.906,1.003,in TeleOp_Revised,top of main loop
10.907,0.933,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
10.908,1.623,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
10.909,1.254,in TeleOp_Revised,top of main loop
10.910,0.626,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
10.912,1.639,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
10.913,1.256,in TeleOp_Revised,top of main loop
10.914,0.869,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
10.915,1.613,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
10.917,1.257,in TeleOp_Revised,top of main loop
10.918,0.817,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
10.919,1.714,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
10.920,1.086,in TeleOp_Revised,top of main loop
10.921,0.937,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
10.924,2.918,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
10.926,1.411,in TeleOp_Revised,top of main loop
10.926,0.563,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
10.928,1.710,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
10.929,1.183,in TeleOp_Revised,top of main loop
10.930,0.750,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
10.931,1.455,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
10.933,1.369,in TeleOp_Revised,top of main loop
10.933,0.553,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
10.935,1.578,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
10.936,1.431,in TeleOp_Revised,top of main loop
10.937,0.876,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
10.939,1.523,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
10.940,1.141,in TeleOp_Revised,top of main loop
10.940,0.532,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
10.942,1.466,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
10.946,3.949,in TeleOp_Revised,top of main loop
10.946,0.673,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
10.948,2.126,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
10.950,1.680,in TeleOp_Revised,top of main loop
10.951,1.140,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
10.953,1.875,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
10.955,2.146,in TeleOp_Revised,top of main loop
10.956,0.627,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
10.957,1.482,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
10.959,1.257,in TeleOp_Revised,top of main loop
10.959,0.566,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
10.961,1.407,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
10.962,1.433,in TeleOp_Revised,top of main loop
10.963,0.661,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
10.964,1.745,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
10.966,1.338,in TeleOp_Revised,top of main loop
10.967,0.713,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
10.968,1.494,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
10.969,1.327,in TeleOp_Revised,top of main loop
10.970,0.683,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
10.972,1.852,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
10.973,1.179,in TeleOp_Revised,top of main loop
10.974,1.026,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
10.975,1.396,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
10.976,1.000,in TeleOp_Revised,top of main loop
10.977,0.809,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
10.979,1.283,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
10.980,1.248,in TeleOp_Revised,top of main loop
10.980,0.572,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
10.982,1.367,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
10.983,1.219,in TeleOp_Revised,top of main loop
10.984,0.635,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
10.985,1.350,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
10.986,1.089,in TeleOp_Revised,top of main loop
10.987,0.535,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
10.988,1.439,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
10.989,1.033,in TeleOp_Revised,top of main loop
10.990,0.555,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
10.991,1.425,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
10.992,1.126,in TeleOp_Revised,top of main loop
10.993,0.563,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
10.994,1.396,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
10.995,1.062,in TeleOp_Revised,top of main loop
