sec,d ms,r.init,r.init was invoked (a)
0.000,0.536,r.init,debug mode is false
0.001,1.003,robot,pushButton was invoked with button 0
4.029,4027.942,robot,resetMotorEncoders was called
4.042,12.772,robot,enableMotorEncoders was called
4.085,42.850,r.init,r.init finished (a)
