sec,d ms,r.init,r.init was invoked (a)
0.001,1.305,r.init,debug mode is false
0.002,0.943,robot,pushButton was invoked with button 0
3.390,3387.744,robot,resetMotorEncoders was called
3.401,11.558,robot,enableMotorEncoders was called
3.443,42.110,r.init,r.init finished (a)
3.496,52.367,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
3.497,1.221,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
3.672,174.498,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
4.579,907.002,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
4.636,57.408,in TeleOp_Revised,top of main loop
4.637,0.833,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
4.696,59.457,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
4.700,3.999,in TeleOp_Revised,top of main loop
4.701,0.921,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
4.705,3.648,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
4.709,3.890,in TeleOp_Revised,top of main loop
4.710,1.509,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
4.715,4.748,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
4.718,2.549,in TeleOp_Revised,top of main loop
4.719,1.487,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
4.721,2.406,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
4.724,2.255,in TeleOp_Revised,top of main loop
4.725,0.919,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
4.729,4.554,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
4.732,2.721,in TeleOp_Revised,top of main loop
4.733,1.472,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
4.736,3.076,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
4.741,4.151,in TeleOp_Revised,top of main loop
4.742,1.151,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
4.746,4.737,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
4.748,1.576,in TeleOp_Revised,top of main loop
4.749,1.052,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
4.752,3.058,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
4.755,2.913,in TeleOp_Revised,top of main loop
4.756,1.211,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
4.759,2.671,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
4.761,2.197,in TeleOp_Revised,top of main loop
4.763,1.628,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
4.765,2.412,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
4.768,2.823,in TeleOp_Revised,top of main loop
4.769,0.793,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
4.774,4.918,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
4.776,1.837,in TeleOp_Revised,top of main loop
4.777,1.436,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
4.779,2.225,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
4.781,1.775,in TeleOp_Revised,top of main loop
4.782,0.981,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
4.784,2.164,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
4.786,1.429,in TeleOp_Revised,top of main loop
4.787,1.192,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
4.789,2.208,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
4.791,1.769,in TeleOp_Revised,top of main loop
4.792,0.983,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
4.794,2.498,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
4.796,1.481,in TeleOp_Revised,top of main loop
4.797,0.931,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
