sec,d ms,r.init,r.init was invoked (a)
0.001,1.450,r.init,debug mode is false
0.002,0.992,robot,pushButton was invoked with button 0
4.174,4171.190,robot,resetMotorEncoders was called
4.193,19.798,robot,enableMotorEncoders was called
4.236,42.791,r.init,r.init finished (a)
4.306,69.780,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
21.577,17270.938,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
21.822,245.676,in TeleOp_Revised,top of main loop
21.824,1.014,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
21.917,93.082,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
21.918,1.746,in TeleOp_Revised,top of main loop
21.919,1.034,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
21.926,7.078,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
21.929,2.715,in TeleOp_Revised,top of main loop
21.930,1.315,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
21.935,4.722,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
21.945,9.331,in TeleOp_Revised,top of main loop
21.947,2.155,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
21.951,4.219,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
21.957,6.161,in TeleOp_Revised,top of main loop
21.959,1.976,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
21.967,7.723,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
21.972,5.073,in TeleOp_Revised,top of main loop
21.973,0.754,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
21.975,2.771,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
21.978,2.800,in TeleOp_Revised,top of main loop
21.980,1.427,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
21.983,2.969,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
21.986,3.919,in TeleOp_Revised,top of main loop
21.988,1.243,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
21.990,1.989,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
21.991,1.349,in TeleOp_Revised,top of main loop
21.992,0.808,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
21.994,1.965,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
21.996,1.733,in TeleOp_Revised,top of main loop
21.996,0.895,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
22.000,3.753,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
22.002,2.036,in TeleOp_Revised,top of main loop
22.003,0.736,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
22.005,2.102,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
22.007,1.832,in TeleOp_Revised,top of main loop
22.009,1.903,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
22.012,3.642,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
22.014,2.031,in TeleOp_Revised,top of main loop
22.016,1.499,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
22.021,4.915,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
22.023,2.588,in TeleOp_Revised,top of main loop
22.025,1.902,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
22.029,3.420,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
22.031,2.567,in TeleOp_Revised,top of main loop
22.033,1.137,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
22.035,2.365,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
22.036,1.302,in TeleOp_Revised,top of main loop
22.037,0.795,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
22.040,2.832,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
22.041,1.367,in TeleOp_Revised,top of main loop
22.043,1.355,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
22.045,2.010,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
22.046,1.564,in TeleOp_Revised,top of main loop
22.047,1.157,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
22.050,2.849,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
22.052,1.568,in TeleOp_Revised,top of main loop
22.053,1.333,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
22.055,1.868,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
22.057,2.156,in TeleOp_Revised,top of main loop
22.058,0.517,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
22.059,1.891,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
22.062,2.191,in TeleOp_Revised,top of main loop
22.062,0.675,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
22.064,1.873,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
22.066,1.799,in TeleOp_Revised,top of main loop
22.067,0.727,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
22.069,2.651,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
22.071,1.416,in TeleOp_Revised,top of main loop
22.073,2.291,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
22.075,1.537,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
22.077,2.428,in TeleOp_Revised,top of main loop
22.078,1.009,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
22.081,2.532,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
22.084,3.072,in TeleOp_Revised,top of main loop
22.085,1.400,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
22.088,2.642,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
22.091,2.881,in TeleOp_Revised,top of main loop
22.092,1.369,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
22.095,3.127,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
22.098,2.491,in TeleOp_Revised,top of main loop
22.099,1.494,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
22.101,2.067,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
22.103,2.326,in TeleOp_Revised,top of main loop
22.105,1.121,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
22.109,4.283,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
22.111,2.437,in TeleOp_Revised,top of main loop
22.113,1.711,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
22.115,2.334,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
22.117,1.839,in TeleOp_Revised,top of main loop
22.119,1.532,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
22.121,2.381,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
22.123,2.039,in TeleOp_Revised,top of main loop
22.124,1.176,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
22.128,3.278,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
22.129,1.843,in TeleOp_Revised,top of main loop
22.131,1.330,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
22.133,2.456,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
22.135,2.029,in TeleOp_Revised,top of main loop
22.137,1.428,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
22.139,2.504,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
