sec,d ms,r.init,r.init was invoked (a)
0.001,0.732,r.init,debug mode is false
0.002,1.150,robot,pushButton was invoked with button 0
3.498,3496.083,robot,resetMotorEncoders was called
3.518,19.301,robot,enableMotorEncoders was called
3.545,27.649,r.init,r.init finished (a)
3.634,88.557,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
3.635,1.297,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
3.767,132.077,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
4.792,1024.854,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
4.860,67.577,in TeleOp_Revised,top of main loop
4.860,0.616,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
4.966,105.241,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
4.967,1.075,in TeleOp_Revised,top of main loop
4.967,0.625,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
4.969,1.622,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
4.970,1.037,in TeleOp_Revised,top of main loop
4.971,0.599,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
4.972,1.193,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
4.973,1.652,in TeleOp_Revised,top of main loop
4.974,0.704,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
4.976,1.713,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
4.977,1.108,in TeleOp_Revised,top of main loop
4.977,0.550,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
4.979,1.465,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
4.980,1.358,in TeleOp_Revised,top of main loop
4.981,0.620,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
4.983,1.951,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
4.985,1.955,in TeleOp_Revised,top of main loop
4.985,0.536,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
4.987,1.454,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
4.988,0.891,in TeleOp_Revised,top of main loop
4.988,0.501,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
4.990,1.371,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
4.991,0.995,in TeleOp_Revised,top of main loop
4.991,0.554,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
4.995,4.149,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
4.997,2.182,in TeleOp_Revised,top of main loop
4.998,0.678,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
5.000,2.028,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
5.001,1.305,in TeleOp_Revised,top of main loop
5.002,0.676,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
5.004,1.817,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
5.005,1.294,in TeleOp_Revised,top of main loop
5.006,0.499,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
5.007,1.659,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
5.009,1.425,in TeleOp_Revised,top of main loop
5.009,0.543,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
5.011,1.687,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
5.012,1.002,in TeleOp_Revised,top of main loop
5.013,0.857,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
5.014,1.431,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
5.015,1.144,in TeleOp_Revised,top of main loop
5.016,0.585,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
5.018,1.441,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
5.019,1.500,in TeleOp_Revised,top of main loop
5.020,0.548,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
5.021,1.451,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
5.022,1.009,in TeleOp_Revised,top of main loop
5.023,0.670,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
5.024,1.467,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
5.025,0.974,in TeleOp_Revised,top of main loop
5.026,0.438,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
5.027,1.441,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
5.028,1.030,in TeleOp_Revised,top of main loop
5.029,0.488,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
5.030,1.301,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
5.031,1.020,in TeleOp_Revised,top of main loop
5.031,0.579,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
5.033,1.624,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
5.034,1.407,in TeleOp_Revised,top of main loop
5.035,0.606,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
5.037,1.648,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
5.038,1.126,in TeleOp_Revised,top of main loop
5.038,0.563,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
5.040,1.382,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
5.041,1.005,in TeleOp_Revised,top of main loop
5.041,0.505,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
5.043,1.901,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
5.044,1.104,in TeleOp_Revised,top of main loop
5.045,0.910,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
