sec,d ms,r.init,r.init was invoked (a)
0.001,0.757,r.init,debug mode is false
0.002,1.166,robot,pushButton was invoked with button 0
3.571,3568.220,robot,resetMotorEncoders was called
3.583,12.662,robot,enableMotorEncoders was called
3.606,22.583,r.init,r.init finished (a)
3.659,53.038,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
6.145,2486.247,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
6.340,195.200,in TeleOp_Revised,top of main loop
6.341,1.053,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
6.421,79.800,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
6.423,1.517,in TeleOp_Revised,top of main loop
6.426,3.356,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
6.431,5.093,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
6.433,2.177,in TeleOp_Revised,top of main loop
6.434,0.827,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
6.439,4.366,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
6.442,3.456,in TeleOp_Revised,top of main loop
6.445,2.929,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
6.448,3.545,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
6.451,2.725,in TeleOp_Revised,top of main loop
6.452,1.252,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
6.455,2.863,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
6.459,3.319,in TeleOp_Revised,top of main loop
6.461,2.175,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
6.463,2.014,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
6.465,2.402,in TeleOp_Revised,top of main loop
6.467,1.905,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
6.469,2.276,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
6.471,1.663,in TeleOp_Revised,top of main loop
