sec,d ms,r.init,r.init was invoked (a)
0.000,0.619,r.init,debug mode is false
0.001,0.601,robot,pushButton was invoked with button 0
3.229,3227.811,robot,resetMotorEncoders was called
3.239,10.666,robot,enableMotorEncoders was called
3.269,29.998,r.init,r.init finished (a)
3.338,68.221,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
3.339,1.383,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
3.539,199.610,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
4.632,1093.508,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
4.695,63.097,in TeleOp_Revised,top of main loop
4.696,0.991,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
4.796,99.932,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
4.798,1.726,in TeleOp_Revised,top of main loop
4.799,0.956,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
4.801,2.468,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
4.803,1.876,in TeleOp_Revised,top of main loop
4.804,0.910,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
4.807,3.342,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
4.810,2.522,in TeleOp_Revised,top of main loop
4.811,0.824,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
4.829,18.500,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
4.833,3.883,in TeleOp_Revised,top of main loop
4.834,1.172,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
4.837,2.627,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
4.838,1.519,in TeleOp_Revised,top of main loop
4.840,1.555,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
4.850,10.275,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
4.852,1.558,in TeleOp_Revised,top of main loop
4.852,0.613,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
