sec,d ms,r.init,r.init was invoked (a)
0.001,0.762,r.init,debug mode is false
0.002,1.027,robot,pushButton was invoked with button 0
4.263,4261.319,robot,resetMotorEncoders was called
4.281,17.984,robot,enableMotorEncoders was called
4.303,22.197,r.init,r.init finished (a)
4.382,79.001,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
9.314,4932.350,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
9.502,187.236,in TeleOp_Revised,top of main loop
9.502,0.751,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
9.596,93.871,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
9.598,1.837,in TeleOp_Revised,top of main loop
9.599,1.001,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
9.601,1.853,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
9.603,1.561,in TeleOp_Revised,top of main loop
9.603,0.894,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
9.606,2.476,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
9.607,1.561,in TeleOp_Revised,top of main loop
9.608,0.784,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
9.610,1.532,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
9.612,2.604,in TeleOp_Revised,top of main loop
9.613,0.937,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
9.615,1.990,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
9.617,1.554,in TeleOp_Revised,top of main loop
9.618,0.797,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
9.620,1.974,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
9.622,2.097,in TeleOp_Revised,top of main loop
9.622,0.714,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
9.625,2.161,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
9.626,1.531,in TeleOp_Revised,top of main loop
9.627,0.611,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
9.629,1.851,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
9.630,1.924,in TeleOp_Revised,top of main loop
9.631,0.812,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
9.633,1.707,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
9.634,1.230,in TeleOp_Revised,top of main loop
9.635,0.819,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
9.637,1.577,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
9.639,2.227,in TeleOp_Revised,top of main loop
9.640,0.665,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
9.642,2.267,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
9.643,1.035,in TeleOp_Revised,top of main loop
9.644,1.340,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
9.646,2.065,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
9.647,1.177,in TeleOp_Revised,top of main loop
9.648,0.723,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
9.650,1.762,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
9.651,1.289,in TeleOp_Revised,top of main loop
9.652,0.855,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
9.654,1.648,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
9.655,1.305,in TeleOp_Revised,top of main loop
9.656,0.795,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
9.657,1.694,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
9.659,1.597,in TeleOp_Revised,top of main loop
9.660,0.844,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
9.662,1.857,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
9.663,1.264,in TeleOp_Revised,top of main loop
9.664,0.685,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
9.665,1.698,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
9.667,1.173,in TeleOp_Revised,top of main loop
9.668,1.236,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
9.670,1.708,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
9.671,1.475,in TeleOp_Revised,top of main loop
9.672,0.751,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
9.673,1.629,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
9.675,1.487,in TeleOp_Revised,top of main loop
9.676,0.746,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
9.677,1.714,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
9.679,1.348,in TeleOp_Revised,top of main loop
9.680,0.898,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
9.681,1.707,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
9.683,1.554,in TeleOp_Revised,top of main loop
9.684,0.848,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
9.685,1.738,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
9.688,2.200,in TeleOp_Revised,top of main loop
9.688,0.710,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
9.690,1.681,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
9.691,1.354,in TeleOp_Revised,top of main loop
9.692,0.786,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
9.694,1.680,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
9.695,1.205,in TeleOp_Revised,top of main loop
9.696,0.778,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
9.698,1.770,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
9.699,1.232,in TeleOp_Revised,top of main loop
9.700,1.101,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
9.702,2.389,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
9.704,1.468,in TeleOp_Revised,top of main loop
9.705,0.838,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
9.707,2.612,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
9.708,1.238,in TeleOp_Revised,top of main loop
9.709,0.872,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
9.712,2.892,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
9.713,1.238,in TeleOp_Revised,top of main loop
9.714,0.929,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
9.716,1.940,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
9.717,1.001,in TeleOp_Revised,top of main loop
9.718,0.958,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
9.720,1.833,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
9.722,1.709,in TeleOp_Revised,top of main loop
9.722,0.595,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
9.724,1.651,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
9.725,0.998,in TeleOp_Revised,top of main loop
9.726,0.799,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
9.727,1.370,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
9.729,1.324,in TeleOp_Revised,top of main loop
9.729,0.587,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
9.731,2.021,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
9.732,1.043,in TeleOp_Revised,top of main loop
9.733,0.505,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
9.734,1.379,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
9.735,1.021,in TeleOp_Revised,top of main loop
9.736,0.574,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
9.737,1.361,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
9.738,1.012,in TeleOp_Revised,top of main loop
9.739,0.516,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
9.740,1.426,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
9.741,1.138,in TeleOp_Revised,top of main loop
9.742,0.483,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
9.743,1.379,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
9.744,0.953,in TeleOp_Revised,top of main loop
9.745,0.543,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
9.746,1.409,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
9.747,1.242,in TeleOp_Revised,top of main loop
9.748,0.607,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
9.749,1.452,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
9.751,1.326,in TeleOp_Revised,top of main loop
9.751,0.615,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
9.753,1.504,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
9.754,1.316,in TeleOp_Revised,top of main loop
9.755,0.502,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
9.756,1.375,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
9.757,0.988,in TeleOp_Revised,top of main loop
9.757,0.533,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
9.759,1.432,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
9.762,3.482,in TeleOp_Revised,top of main loop
9.763,1.063,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
9.766,3.037,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
9.769,2.661,in TeleOp_Revised,top of main loop
9.770,0.678,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
9.771,1.501,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
9.774,2.996,in TeleOp_Revised,top of main loop
9.775,0.815,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
9.777,1.757,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
9.779,1.746,in TeleOp_Revised,top of main loop
9.780,0.982,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
9.783,3.113,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
9.785,2.506,in TeleOp_Revised,top of main loop
9.786,1.084,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
9.788,2.037,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
9.791,3.118,in TeleOp_Revised,top of main loop
9.792,0.890,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
9.794,1.696,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
9.795,1.195,in TeleOp_Revised,top of main loop
9.796,0.762,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
9.798,1.542,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
9.799,1.357,in TeleOp_Revised,top of main loop
9.800,0.729,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
9.801,1.693,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
9.803,1.432,in TeleOp_Revised,top of main loop
9.803,0.715,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
9.806,2.620,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
9.808,1.547,in TeleOp_Revised,top of main loop
9.808,0.818,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
9.810,1.812,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
9.812,1.374,in TeleOp_Revised,top of main loop
9.812,0.841,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
9.814,1.802,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
9.815,1.236,in TeleOp_Revised,top of main loop
9.816,0.763,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
9.818,1.660,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
9.819,1.174,in TeleOp_Revised,top of main loop
9.820,0.752,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
9.822,1.960,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
9.823,1.256,in TeleOp_Revised,top of main loop
9.824,0.751,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
9.826,1.939,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
9.827,1.131,in TeleOp_Revised,top of main loop
9.828,0.859,robot,move was called - f:r:s:, 0.00, 0.00, -0.00
9.829,1.671,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
9.831,1.205,in TeleOp_Revised,top of main loop
9.832,0.926,robot,move was called - f:r:s:, 0.00, 0.00, -0.00
9.834,2.083,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
9.835,1.457,in TeleOp_Revised,top of main loop
9.836,0.738,robot,move was called - f:r:s:, 0.00, 0.00, -0.00
9.837,1.628,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
9.839,1.535,in TeleOp_Revised,top of main loop
9.840,0.930,robot,move was called - f:r:s:, 0.00, 0.00, -0.00
9.842,1.898,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
9.843,1.377,in TeleOp_Revised,top of main loop
9.844,0.880,robot,move was called - f:r:s:, 0.00, 0.00, -0.00
9.846,1.894,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
9.847,1.186,in TeleOp_Revised,top of main loop
9.848,1.011,robot,move was called - f:r:s:, 0.00, 0.00, -0.00
9.856,8.275,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
9.858,1.615,in TeleOp_Revised,top of main loop
9.859,0.482,robot,move was called - f:r:s:, 0.00, 0.00, -0.11
9.860,1.933,robot,move powers are fl:fr:bl:br, -0.11, 0.11, -0.11, 0.11
9.922,62.036,in TeleOp_Revised,top of main loop
9.924,1.096,robot,move was called - f:r:s:, 0.00, 0.00, -0.10
9.926,2.071,robot,move powers are fl:fr:bl:br, -0.09, 0.09, -0.09, 0.09
9.984,58.673,in TeleOp_Revised,top of main loop
9.985,0.675,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
9.987,1.629,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
10.046,59.517,in TeleOp_Revised,top of main loop
10.047,0.908,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
10.101,53.766,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
10.102,1.595,in TeleOp_Revised,top of main loop
10.103,1.013,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
10.159,55.795,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
10.165,6.001,in TeleOp_Revised,top of main loop
10.168,3.195,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
10.193,24.587,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
10.201,8.295,in TeleOp_Revised,top of main loop
10.205,3.778,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
10.214,8.462,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
10.217,3.909,in TeleOp_Revised,top of main loop
10.227,9.815,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
10.229,2.196,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
10.232,2.181,in TeleOp_Revised,top of main loop
10.232,0.607,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
10.234,1.565,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
10.236,2.463,in TeleOp_Revised,top of main loop
10.237,0.595,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
10.239,1.902,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
10.241,2.045,in TeleOp_Revised,top of main loop
10.241,0.590,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
10.244,2.898,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
10.246,1.462,in TeleOp_Revised,top of main loop
10.246,0.582,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
10.248,1.560,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
10.249,0.999,in TeleOp_Revised,top of main loop
10.249,0.525,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
10.252,2.930,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
10.253,1.103,in TeleOp_Revised,top of main loop
10.254,0.539,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
10.257,2.543,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
10.258,1.357,in TeleOp_Revised,top of main loop
10.258,0.550,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
10.260,1.625,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
10.261,1.119,in TeleOp_Revised,top of main loop
10.262,0.545,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
10.263,1.543,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
10.264,0.979,in TeleOp_Revised,top of main loop
10.265,0.805,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
10.266,1.422,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
10.268,1.291,in TeleOp_Revised,top of main loop
10.268,0.542,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
10.270,1.682,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
10.271,1.153,in TeleOp_Revised,top of main loop
10.272,0.608,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
10.274,1.919,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
10.275,1.295,in TeleOp_Revised,top of main loop
10.276,0.774,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
10.277,1.414,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
10.278,1.027,in TeleOp_Revised,top of main loop
10.279,0.491,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
10.280,1.554,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
10.281,1.047,in TeleOp_Revised,top of main loop
10.282,0.544,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
10.283,1.375,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
10.285,1.351,in TeleOp_Revised,top of main loop
10.285,0.569,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
10.287,1.527,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
10.288,1.264,in TeleOp_Revised,top of main loop
10.288,0.562,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
10.290,1.451,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
10.291,1.147,in TeleOp_Revised,top of main loop
10.292,0.547,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
10.293,1.468,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
10.294,0.987,in TeleOp_Revised,top of main loop
10.295,0.585,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
10.296,1.333,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
10.297,1.010,in TeleOp_Revised,top of main loop
10.298,0.554,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
10.299,1.498,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
10.301,1.496,in TeleOp_Revised,top of main loop
10.301,0.797,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
10.303,1.606,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
10.304,1.336,in TeleOp_Revised,top of main loop
10.305,0.602,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
10.306,1.548,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
10.308,1.376,in TeleOp_Revised,top of main loop
10.308,0.571,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
10.310,1.405,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
10.311,1.405,in TeleOp_Revised,top of main loop
10.312,0.614,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
10.313,1.427,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
10.314,0.987,in TeleOp_Revised,top of main loop
10.315,0.495,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
10.316,1.376,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
10.317,1.064,in TeleOp_Revised,top of main loop
10.318,0.563,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
10.319,1.478,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
10.323,3.373,in TeleOp_Revised,top of main loop
10.323,0.609,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
10.325,1.631,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
10.326,1.043,in TeleOp_Revised,top of main loop
10.326,0.529,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
10.328,1.428,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
10.329,0.970,in TeleOp_Revised,top of main loop
10.329,0.512,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
10.331,1.916,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
10.332,1.085,in TeleOp_Revised,top of main loop
10.333,0.551,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
10.334,1.403,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
10.335,0.958,in TeleOp_Revised,top of main loop
10.336,0.474,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
10.337,1.386,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
10.338,1.018,in TeleOp_Revised,top of main loop
10.339,0.578,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
10.340,1.679,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
10.341,1.085,in TeleOp_Revised,top of main loop
10.342,0.539,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
10.343,1.365,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
10.344,0.985,in TeleOp_Revised,top of main loop
10.345,0.527,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
10.346,1.411,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
10.347,1.186,in TeleOp_Revised,top of main loop
10.348,0.683,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
10.350,1.395,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
10.351,1.219,in TeleOp_Revised,top of main loop
10.351,0.559,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
10.353,1.440,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
10.354,0.991,in TeleOp_Revised,top of main loop
10.354,0.486,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
10.356,1.419,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
10.357,1.096,in TeleOp_Revised,top of main loop
10.357,0.510,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
10.359,1.377,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
10.360,1.003,in TeleOp_Revised,top of main loop
10.361,0.880,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
10.362,1.437,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
10.363,1.221,in TeleOp_Revised,top of main loop
10.364,0.592,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
10.365,1.624,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
10.366,1.043,in TeleOp_Revised,top of main loop
10.367,0.674,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
10.369,1.581,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
10.370,1.228,in TeleOp_Revised,top of main loop
10.371,0.626,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
10.372,1.595,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
10.373,1.103,in TeleOp_Revised,top of main loop
10.374,0.670,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
10.375,1.440,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
10.377,1.499,in TeleOp_Revised,top of main loop
10.377,0.634,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
10.379,1.591,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
10.381,1.697,in TeleOp_Revised,top of main loop
10.381,0.654,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
10.384,2.092,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
10.386,2.426,in TeleOp_Revised,top of main loop
10.388,1.586,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
10.392,4.443,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
10.393,1.101,in TeleOp_Revised,top of main loop
10.394,0.977,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
10.395,1.372,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
10.397,1.596,in TeleOp_Revised,top of main loop
10.398,0.809,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
10.400,2.286,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
10.401,1.247,in TeleOp_Revised,top of main loop
10.402,1.127,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
10.409,6.400,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
