sec,d ms,r.init,r.init was invoked (a)
0.001,0.683,r.init,debug mode is false
0.002,1.126,robot,pushButton was invoked with button 0
5.352,5350.200,robot,resetMotorEncoders was called
5.361,9.048,robot,enableMotorEncoders was called
5.399,37.684,r.init,r.init finished (a)
5.459,60.251,robot,move was called - f:r:s:, 0.00, 0.00, 0.00
5.461,1.626,robot,move powers are fl:fr:bl:br, 0.00, 0.00, 0.00, 0.00
